Date,Open,High,Low,Close,Adj Close,Volume
2006-05-16,19609,19609,19609,19609,19609,0
2006-05-17,19730,19730,19730,19730,19730,0
2006-05-18,19546,19546,19546,19546,19546,0
2006-05-19,19535,19535,19535,19535,19535,0
2006-05-22,19535,19548,19535,19548,19548,0
2006-05-23,19666,19666,19666,19666,19666,0
2006-05-24,19693,19693,19693,19693,19693,0
2006-05-25,19693,19693,19693,19693,19693,0
2006-05-26,19607,19607,19607,19607,19607,0
2006-05-29,19531,19531,19531,19531,19531,0
2006-05-30,19695,19695,19695,19695,19695,0
2006-05-31,19695,19695,19694,19694,19694,0
2006-06-01,19523,19523,19523,19523,19523,0
2006-06-02,19605,19605,19605,19605,19605,0
2006-06-05,19605,19605,19605,19605,19605,0
2006-06-06,19714,19714,19714,19714,19714,0
2006-06-07,19605,19605,19605,19605,19605,0
2006-06-08,19529,19529,19529,19529,19529,0
2006-06-09,19387,19387,19387,19387,19387,0
2006-06-12,19294,19294,19294,19294,19294,0
2006-06-13,19263,19263,19263,19263,19263,0
2006-06-14,19263,19263,19239,19239,19239,0
2006-06-15,19239,19322,19239,19322,19322,0
2006-06-16,19387,19387,19387,19387,19387,0
2006-06-19,19387,19387,19265,19265,19265,0
2006-06-20,19241,19241,19241,19241,19241,0
2006-06-21,19241,19336,19241,19336,19336,0
2006-06-22,19336,19336,19294,19294,19294,0
2006-06-23,19204,19204,19204,19204,19204,0
2006-06-26,19247,19247,19247,19247,19247,0
2006-06-27,19261,19261,19261,19261,19261,0
2006-06-28,19250,19250,19250,19250,19250,0
2006-06-29,19191,19191,19191,19191,19191,0
2006-06-30,19485,19485,19485,19485,19485,0
2006-07-03,19624,19624,19624,19624,19624,0
2006-07-04,19624,19624,19623,19623,19623,0
2006-07-05,19583,19583,19583,19583,19583,0
2006-07-06,19519,19519,19519,19519,19519,0
2006-07-07,19584,19584,19584,19584,19584,0
2006-07-10,19560,19560,19560,19560,19560,0
2006-07-11,19512,19512,19512,19512,19512,0
2006-07-12,19512,19512,19512,19512,19512,0
2006-07-13,19442,19442,19442,19442,19442,0
2006-07-14,19420,19420,19420,19420,19420,0
2006-07-17,19420,19420,19210,19210,19210,0
2006-07-18,19212,19212,19212,19212,19212,0
2006-07-19,19144,19144,19144,19144,19144,0
2006-07-20,19357,19357,19357,19357,19357,0
2006-07-21,19357,19435,19357,19435,19435,0
2006-07-24,19341,19341,19341,19341,19341,0
2006-07-25,19341,19378,19341,19378,19378,0
2006-07-26,19378,19378,19378,19297,19297,0
2006-07-27,19297,19546,19297,19546,19546,0
2006-07-28,19546,19546,19427,19427,19427,0
2006-07-31,19427,19560,19427,19560,19560,0
2006-08-01,19560,19585,19560,19585,19585,0
2006-08-02,19585,19648,19585,19648,19648,0
2006-08-03,19575,19575,19575,19575,19575,0
2006-08-04,19575,19621,19575,19621,19621,0
2006-08-07,19621,19764,19621,19764,19764,0
2006-08-08,19764,19764,19723,19723,19723,0
2006-08-09,19723,19791,19723,19791,19791,0
2006-08-10,19791,19791,19741,19741,19741,0
2006-08-11,19741,19741,19590,19590,19590,0
2006-08-14,19590,19590,19590,19520,19520,0
2006-08-15,19516,19516,19516,19516,19516,0
2006-08-16,19516,19611,19516,19611,19611,0
2006-08-17,19611,19745,19611,19745,19745,0
2006-08-18,19745,19745,19745,19676,19676,0
2006-08-21,19676,19676,19676,19796,19796,0
2006-08-22,19796,19796,19707,19707,19707,0
2006-08-23,19707,19707,19707,19676,19676,0
2006-08-24,19676,19676,19676,19694,19694,0
2006-08-25,19694,19694,19694,19603,19603,0
2006-08-28,19603,19603,19603,19678,19678,0
2006-08-29,19678,19678,19656,19656,19656,0
2006-08-30,19656,19676,19656,19676,19676,0
2006-08-31,19676,19676,19676,19740,19740,0
2006-09-01,19740,19740,19668,19668,19668,0
2006-09-04,19668,19668,19668,19744,19744,0
2006-09-05,19744,19744,19744,19692,19692,0
2006-09-06,19692,19692,19692,19682,19682,0
2006-09-07,19682,19682,19682,19605,19605,0
2006-09-08,19605,19605,19506,19506,19506,0
2006-09-11,19506,19562,19506,19562,19562,0
2006-09-12,19562,19562,19527,19527,19527,0
2006-09-13,19527,19527,19500,19500,19500,0
2006-09-14,19500,19549,19500,19549,19549,0
2006-09-15,19549,19549,19488,19488,19488,0
2006-09-18,19488,19488,19453,19453,19453,0
2006-09-19,19453,19461,19453,19461,19461,0
2006-09-20,19461,19482,19461,19482,19482,0
2006-09-21,19482,19559,19482,19559,19559,0
2006-09-22,19559,19726,19559,19726,19726,0
2006-09-25,19726,19726,19631,19631,19631,0
2006-09-26,19631,19631,19524,19524,19524,0
2006-09-27,19524,19524,19524,19524,19524,0
2006-09-28,19524,19564,19524,19564,19564,0
2006-09-29,19564,19564,19488,19488,19488,0
2006-10-02,19488,19497,19488,19497,19497,0
2006-10-03,19497,19497,19497,19497,19497,0
2006-10-04,19497,19497,19497,19497,19497,0
2006-10-05,19497,19559,19497,19559,19559,0
2006-10-06,19559,19559,19512,19512,19512,0
2006-10-09,19512,19512,19385,19385,19385,0
2006-10-10,19385,19385,19380,19380,19380,0
2006-10-11,19307,19307,19307,19307,19307,0
2006-10-12,19307,19307,19276,19276,19276,0
2006-10-13,19276,19298,19276,19298,19298,0
2006-10-16,19265,19265,19265,19265,19265,0
2006-10-17,19265,19279,19265,19279,19279,0
2006-10-18,19279,19311,19279,19311,19311,0
2006-10-19,19311,19338,19311,19338,19338,0
2006-10-20,19338,19420,19338,19420,19420,0
2006-10-23,19420,19420,19330,19330,19330,0
2006-10-24,19330,19330,19301,19301,19301,0
2006-10-25,19356,19356,19356,19356,19356,0
2006-10-26,19356,19511,19356,19511,19511,0
2006-10-27,19511,19521,19511,19521,19521,0
2006-10-30,19521,19616,19521,19616,19616,0
2006-10-31,19616,19616,19556,19556,19556,0
2006-11-01,19556,19670,19556,19670,19670,0
2006-11-02,19696,19696,19696,19696,19696,0
2006-11-03,19696,19696,19689,19689,19689,0
2006-11-06,19689,19689,19588,19588,19588,0
2006-11-07,19588,19676,19588,19676,19676,0
2006-11-08,19740,19740,19740,19740,19740,0
2006-11-09,19740,19740,19724,19724,19724,0
2006-11-10,19724,19876,19724,19876,19876,0
2006-11-13,19876,19876,19799,19799,19799,0
2006-11-14,19799,19799,19789,19789,19789,0
2006-11-15,19789,19789,19731,19731,19731,0
2006-11-16,19731,19771,19731,19771,19771,0
2006-11-17,19771,19771,19704,19704,19704,0
2006-11-20,19704,19800,19704,19800,19800,0
2006-11-21,19800,19800,19757,19757,19757,0
2006-11-22,19757,19846,19757,19846,19846,0
2006-11-23,19757,20004,19757,20004,20004,0
2006-11-24,20004,20202,20004,20202,20202,0
2006-11-27,20202,20241,20202,20241,20241,0
2006-11-28,20241,20294,20241,20294,20294,0
2006-11-29,20294,20307,20294,20307,20307,0
2006-11-30,20307,20344,20307,20344,20344,0
2006-12-01,20344,20429,20344,20429,20429,0
2006-12-04,20429,20541,20429,20541,20541,0
2006-12-05,20541,20555,20541,20555,20555,0
2006-12-06,20555,20555,20493,20493,20493,0
2006-12-07,20493,20506,20493,20506,20506,0
2006-12-08,20506,20506,20490,20490,20490,0
2006-12-11,20490,20490,20346,20346,20346,0
2006-12-12,20346,20426,20346,20426,20426,0
2006-12-13,20426,20481,20426,20481,20481,0
2006-12-14,20481,20481,20363,20363,20363,0
2006-12-15,20363,20363,20226,20226,20226,0
2006-12-18,20226,20226,20187,20187,20187,0
2006-12-19,20187,20295,20187,20295,20295,0
2006-12-20,20295,20378,20295,20378,20378,0
2006-12-21,20378,20378,20315,20315,20315,0
2006-12-22,20315,20336,20315,20336,20336,0
2006-12-25,20336,20336,20336,20336,20336,0
2006-12-26,20336,20336,20336,20336,20336,0
2006-12-27,20336,20336,20280,20280,20280,0
2006-12-28,20280,20280,20251,20251,20251,0
2006-12-29,20307,20307,20307,20307,20307,0
2007-01-01,20307,20307,20307,20307,20307,0
2007-01-02,20470,20470,20470,20470,20470,0
2007-01-03,20470,20470,20380,20380,20380,0
2007-01-04,20380,20380,20180,20180,20180,0
2007-01-05,20180,20180,20165,20165,20165,0
2007-01-08,20037,20037,20037,20037,20037,0
2007-01-09,20037,20074,20037,20074,20074,0
2007-01-10,20074,20074,19995,19995,19995,0
2007-01-11,19995,19995,19932,19932,19932,0
2007-01-12,19932,19932,19855,19855,19855,0
2007-01-15,19902,19902,19902,19902,19902,0
2007-01-16,19902,19981,19902,19981,19981,0
2007-01-17,19981,19981,19903,19903,19903,0
2007-01-18,19903,19930,19903,19930,19930,0
2007-01-19,19930,19975,19930,19975,19975,0
2007-01-22,19975,19975,19970,19970,19970,0
2007-01-23,19970,20086,19970,20086,20086,0
2007-01-24,20086,20086,20043,20043,20043,0
2007-01-25,20043,20043,20003,20003,20003,0
2007-01-26,19891,19891,19891,19891,19891,0
2007-01-29,19891,19891,19891,19891,19891,0
2007-01-30,19891,19939,19891,19939,19939,0
2007-01-31,19939,19939,19899,19899,19899,0
2007-02-01,19899,20029,19899,20029,20029,0
2007-02-02,20029,20047,20029,20047,20047,0
2007-02-05,20047,20047,19858,19858,19858,0
2007-02-06,19858,19877,19858,19877,19877,0
2007-02-07,19877,19914,19877,19914,19914,0
2007-02-08,19914,19930,19914,19930,19930,0
2007-02-09,19930,19936,19930,19936,19936,0
2007-02-12,19936,19936,19849,19849,19849,0
2007-02-13,19849,19936,19849,19936,19936,0
2007-02-14,19936,20054,19936,20054,20054,0
2007-02-15,20054,20137,20054,20137,20137,0
2007-02-16,20137,20137,20124,20124,20124,0
2007-02-19,20124,20168,20124,20168,20168,0
2007-02-20,20168,20168,20145,20145,20145,0
2007-02-21,20145,20145,20140,20140,20140,0
2007-02-22,20140,20140,20079,20079,20079,0
2007-02-23,20079,20121,20079,20121,20121,0
2007-02-26,20121,20187,20121,20187,20187,0
2007-02-27,20187,20283,20187,20283,20283,0
2007-02-28,20283,20283,20250,20250,20250,0
2007-03-01,20250,20303,20250,20303,20303,0
2007-03-02,20303,20303,20303,20303,20303,0
2007-03-05,20303,20303,20103,20103,20103,0
2007-03-06,20103,20142,20103,20142,20142,0
2007-03-07,20142,20150,20142,20150,20150,0
2007-03-08,20150,20193,20150,20193,20193,0
2007-03-09,20193,20200,20193,20200,20200,0
2007-03-12,20200,20251,20200,20251,20251,0
2007-03-13,20251,20262,20251,20262,20262,0
2007-03-14,20262,20275,20262,20275,20275,0
2007-03-15,20275,20313,20275,20313,20313,0
2007-03-16,20313,20492,20313,20492,20492,0
2007-03-19,20436,20436,20436,20436,20436,0
2007-03-20,20436,20441,20436,20441,20441,0
2007-03-21,20441,20476,20441,20476,20476,0
2007-03-22,20476,20476,20476,20476,20476,0
2007-03-23,20476,20476,20476,20476,20476,0
2007-03-26,20399,20399,20399,20399,20399,0
2007-03-27,20399,20520,20399,20520,20520,0
2007-03-28,20520,20526,20520,20526,20526,0
2007-03-29,20526,20539,20526,20539,20539,0
2007-03-30,20539,20539,20472,20472,20472,0
2007-04-02,20552,20552,20552,20552,20552,0
2007-04-03,20552,20563,20552,20563,20563,0
2007-04-04,20563,20563,20537,20537,20537,0
2007-04-05,20537,20571,20537,20571,20571,0
2007-04-06,20571,20571,20571,20571,20571,0
2007-04-09,20571,20571,20571,20571,20571,0
2007-04-10,20661,20661,20661,20661,20661,0
2007-04-11,20661,20677,20661,20677,20677,0
2007-04-12,20677,20722,20677,20722,20722,0
2007-04-13,20722,20873,20722,20873,20873,0
2007-04-16,20873,20902,20873,20902,20902,0
2007-04-17,20869,20869,20869,20869,20869,0
2007-04-18,20869,20975,20869,20975,20975,0
2007-04-19,20975,20975,20947,20947,20947,0
2007-04-20,20947,20976,20947,20976,20976,0
2007-04-23,20892,20892,20892,20892,20892,0
2007-04-24,20892,20942,20892,20942,20942,0
2007-04-25,20942,21056,20942,21056,21056,0
2007-04-26,21056,21056,20989,20989,20989,0
2007-04-27,20989,21041,20989,21041,21041,0
2007-04-30,21007,21007,21007,21007,21007,0
2007-05-01,21007,21007,21007,21007,21007,0
2007-05-02,20927,20927,20927,20927,20927,0
2007-05-03,20927,20994,20927,20994,20994,0
2007-05-04,20994,20994,20921,20921,20921,0
2007-05-07,20994,20994,20994,20994,20994,0
2007-05-08,20994,20994,20907,20907,20907,0
2007-05-09,20907,20907,20863,20863,20863,0
2007-05-10,20863,20869,20863,20869,20869,0
2007-05-11,20869,20869,20771,20771,20771,0
2007-05-14,20898,20898,20898,20898,20898,0
2007-05-15,20898,20898,20858,20858,20858,0
2007-05-16,20858,20965,20858,20965,20965,0
2007-05-17,20965,20965,20965,20965,20965,0
2007-05-18,20798,20798,20798,20798,20798,0
2007-05-21,20752,20752,20752,20752,20752,0
2007-05-22,20752,20757,20752,20757,20757,0
2007-05-23,20757,20773,20757,20773,20773,0
2007-05-24,20773,21199,20773,21199,21199,0
2007-05-25,21199,21199,21196,21196,21196,0
2007-05-28,21196,21196,21196,21196,21196,0
2007-05-29,21273,21273,21273,21273,21273,0
2007-05-30,21273,21273,21197,21197,21197,0
2007-05-31,21197,21232,21197,21232,21232,0
2007-06-01,21232,21232,21213,21213,21213,0
2007-06-04,21269,21269,21269,21269,21269,0
2007-06-05,21269,21358,21269,21358,21358,0
2007-06-06,21358,21363,21358,21363,21363,0
2007-06-07,21363,21363,21289,21289,21289,0
2007-06-08,21289,21289,21289,21083,21083,0
2007-06-11,21083,21087,21083,21087,21087,0
2007-06-12,21087,21093,21087,21093,21093,0
2007-06-13,21093,21093,20994,20994,20994,0
2007-06-14,20994,21049,20994,21049,21049,0
2007-06-15,21049,21065,21049,21065,21065,0
2007-06-18,21065,21222,21065,21222,21222,0
2007-06-19,21222,21222,21197,21197,21197,0
2007-06-20,21197,21250,21197,21250,21250,0
2007-06-21,21250,21250,21172,21172,21172,0
2007-06-22,21172,21246,21172,21246,21246,0
2007-06-25,21246,21302,21246,21302,21302,0
2007-06-26,21302,21308,21302,21308,21308,0
2007-06-27,21308,21308,21272,21272,21272,0
2007-06-28,21272,21322,21272,21322,21322,0
2007-06-29,21322,21381,21322,21381,21381,0
2007-07-02,21502,21502,21502,21502,21502,0
2007-07-03,21502,21551,21502,21551,21551,0
2007-07-04,21551,21561,21551,21561,21561,0
2007-07-05,21561,21612,21561,21612,21612,0
2007-07-06,21612,21612,21534,21534,21534,0
2007-07-09,21589,21589,21589,21589,21589,0
2007-07-10,21589,21615,21589,21615,21615,0
2007-07-11,21615,21796,21615,21796,21796,0
2007-07-12,21796,21852,21796,21852,21852,0
2007-07-13,21852,21852,21820,21820,21820,0
2007-07-16,21854,21854,21854,21854,21854,0
2007-07-17,21854,21854,21824,21824,21824,0
2007-07-18,21824,21847,21824,21847,21847,0
2007-07-19,21847,21898,21847,21898,21898,0
2007-07-20,21898,21898,21859,21859,21859,0
2007-07-23,21890,21890,21890,21890,21890,0
2007-07-24,21890,21896,21890,21896,21896,0
2007-07-25,21896,21896,21759,21759,21759,0
2007-07-26,21759,21759,21745,21745,21745,0
2007-07-27,21745,21745,21634,21634,21634,0
2007-07-30,21677,21677,21677,21677,21677,0
2007-07-31,21677,21714,21677,21714,21714,0
2007-08-01,21714,21714,21656,21656,21656,0
2007-08-02,21656,21681,21656,21681,21681,0
2007-08-03,21681,21728,21681,21728,21728,0
2007-08-06,21894,21894,21894,21894,21894,0
2007-08-07,21894,21904,21894,21904,21904,0
2007-08-08,21904,21904,21874,21874,21874,0
2007-08-09,21874,21874,21824,21824,21824,0
2007-08-10,21824,21824,21705,21705,21705,0
2007-08-13,21721,21721,21721,21721,21721,0
2007-08-14,21721,21721,21614,21614,21614,0
2007-08-15,21614,21614,21469,21469,21469,0
2007-08-16,21469,21469,21347,21347,21347,0
2007-08-17,21347,21453,21347,21453,21453,0
2007-08-20,21516,21516,21516,21516,21516,0
2007-08-21,21516,21540,21516,21540,21540,0
2007-08-22,21540,21540,21518,21518,21518,0
2007-08-23,21518,21662,21518,21662,21662,0
2007-08-24,21662,21706,21662,21706,21706,0
2007-08-27,21785,21785,21785,21785,21785,0
2007-08-28,21785,21803,21785,21803,21803,0
2007-08-29,21803,21803,21733,21733,21733,0
2007-08-30,21733,21733,21713,21713,21713,0
2007-08-31,21713,21794,21713,21794,21794,0
2007-09-03,21739,21739,21739,21739,21739,0
2007-09-04,21739,21739,21658,21658,21658,0
2007-09-05,21658,21677,21658,21677,21677,0
2007-09-06,21677,21783,21677,21783,21783,0
2007-09-07,21783,21831,21783,21831,21831,0
2007-09-11,21991,22053,21991,22053,22053,0
2007-09-12,22053,22053,22053,22128,22128,0
2007-09-13,22128,22154,22128,22154,22154,0
2007-09-14,22154,22154,22139,22139,22139,0
2007-09-17,22129,22129,22129,22129,22129,0
2007-09-18,22129,22129,22105,22105,22105,0
2007-09-19,22105,22248,22105,22248,22248,0
2007-09-20,22248,22309,22248,22309,22309,0
2007-09-21,22309,22352,22309,22352,22352,0
2007-09-24,22398,22398,22398,22398,22398,0
2007-09-25,22398,22398,22295,22295,22295,0
2007-09-26,22295,22342,22295,22342,22342,0
2007-09-27,22342,22374,22342,22374,22374,0
2007-09-28,22374,22417,22374,22417,22417,0
2007-10-01,22497,22497,22497,22497,22497,0
2007-10-02,22497,22497,22358,22358,22358,0
2007-10-03,22358,22358,22358,22358,22358,0
2007-10-04,22358,22358,22298,22298,22298,0
2007-10-05,22298,22326,22298,22326,22326,0
2007-10-08,22255,22255,22255,22255,22255,0
2007-10-09,22255,22255,22171,22171,22171,0
2007-10-10,22171,22349,22171,22349,22349,0
2007-10-11,22349,22437,22349,22437,22437,0
2007-10-12,22437,22437,22405,22405,22405,0
2007-10-15,22501,22501,22501,22501,22501,0
2007-10-16,22501,22501,22362,22362,22362,0
2007-10-17,22362,22386,22362,22386,22386,0
2007-10-18,22386,22527,22386,22527,22527,0
2007-10-19,22527,22584,22527,22584,22584,0
2007-10-22,22456,22456,22456,22456,22456,0
2007-10-23,22456,22462,22456,22462,22462,0
2007-10-24,22462,22462,22457,22457,22457,0
2007-10-25,22457,22612,22457,22612,22612,0
2007-10-26,22612,22705,22612,22705,22705,0
2007-10-29,22775,22775,22775,22775,22775,0
2007-10-30,22775,22775,22742,22742,22742,0
2007-10-31,22742,22841,22742,22841,22841,0
2007-11-01,22841,22841,22799,22799,22799,0
2007-11-02,22799,22882,22799,22882,22882,0
2007-11-05,22862,22862,22862,22862,22862,0
2007-11-06,22862,22980,22862,22980,22980,0
2007-11-07,22980,23195,22980,23195,23195,0
2007-11-08,23195,23195,23168,23168,23168,0
2007-11-09,23168,23190,23168,23190,23190,0
2007-11-12,22983,22983,22983,22983,22983,0
2007-11-13,22983,23055,22983,23055,23055,0
2007-11-14,23055,23185,23055,23185,23185,0
2007-11-15,23185,23185,23100,23100,23100,0
2007-11-16,23100,23100,23043,23043,23043,0
2007-11-19,23105,23105,23105,23105,23105,0
2007-11-20,23105,23337,23105,23337,23337,0
2007-11-21,23337,23345,23337,23345,23345,0
2007-11-22,23345,23401,23345,23401,23401,0
2007-11-23,23401,23401,23383,23383,23383,0
2007-11-27,23434,23442,23434,23442,23442,0
2007-11-28,23442,23442,23250,23250,23250,0
2007-11-29,23250,23251,23250,23251,23251,0
2007-11-30,23251,23286,23251,23286,23286,0
2007-12-03,23094,23094,23094,23094,23094,0
2007-12-04,23094,23207,23094,23207,23207,0
2007-12-05,23207,23209,23207,23209,23209,0
2007-12-06,23209,23209,22951,22951,22951,0
2007-12-07,22951,22951,22951,23102,23102,0
2007-12-10,23102,23149,23102,23149,23149,0
2007-12-11,23149,23149,23126,23126,23126,0
2007-12-12,23126,23152,23126,23152,23152,0
2007-12-13,23152,23176,23152,23176,23176,0
2007-12-14,23176,23176,22845,22845,22845,0
2007-12-17,22845,22845,22677,22677,22677,0
2007-12-19,22700,22706,22700,22706,22706,0
2007-12-20,22706,22706,22589,22589,22589,0
2007-12-21,22589,22665,22589,22665,22665,0
2007-12-24,22665,22665,22665,22665,22665,0
2007-12-25,22665,22665,22665,22665,22665,0
2007-12-27,22864,22864,22864,22864,22864,0
2007-12-28,22864,23155,22864,23155,23155,0
2007-12-31,23168,23168,23168,23168,23168,0
2008-01-01,23168,23168,23168,23168,23168,0
2008-01-02,23098,23098,23098,23098,23098,0
2008-01-03,23098,23222,23098,23222,23222,0
2008-01-04,23222,23222,23133,23133,23133,0
2008-01-07,23093,23093,23093,23093,23093,0
2008-01-08,23093,23138,23093,23138,23138,0
2008-01-09,23138,23138,23115,23115,23115,0
2008-01-10,23115,23115,23050,23050,23050,0
2008-01-11,23050,23227,23050,23227,23227,0
2008-01-14,23407,23407,23407,23407,23407,0
2008-01-15,23407,23407,23367,23367,23367,0
2008-01-16,23367,23367,23224,23224,23224,0
2008-01-17,23224,23224,23029,23029,23029,0
2008-01-18,23029,23029,23029,23029,23029,0
2008-01-22,22746,22785,22746,22785,22785,0
2008-01-23,22785,22902,22785,22902,22902,0
2008-01-24,22902,22902,22902,23058,23058,0
2008-01-25,23058,23104,23058,23104,23104,0
2008-01-28,23145,23145,23145,23145,23145,0
2008-01-29,23145,23221,23145,23221,23221,0
2008-01-30,23221,23266,23221,23266,23266,0
2008-01-31,23266,23353,23266,23353,23353,0
2008-02-01,23353,23353,23353,23399,23399,0
2008-02-04,23271,23271,23271,23271,23271,0
2008-02-05,23271,23271,23025,23025,23025,0
2008-02-06,23025,23025,22941,22941,22941,0
2008-02-07,22941,22942,22941,22942,22942,0
2008-02-08,22942,22942,22708,22708,22708,0
2008-02-11,22708,22822,22708,22822,22822,0
2008-02-12,22822,22822,22795,22795,22795,0
2008-02-13,22795,22879,22795,22879,22879,0
2008-02-14,22879,22920,22879,22920,22920,0
2008-02-15,22920,23026,22920,23026,23026,0
2008-02-18,22931,22931,22931,22931,22931,0
2008-02-19,22931,23118,22931,23118,23118,0
2008-02-20,23118,23118,22996,22996,22996,0
2008-02-21,22996,23065,22996,23065,23065,0
2008-02-22,23065,23254,23065,23254,23254,0
2008-02-25,23213,23213,23213,23213,23213,0
2008-02-26,23213,23316,23213,23316,23316,0
2008-02-27,23586,23586,23586,23586,23586,0
2008-02-28,23586,23650,23586,23650,23650,0
2008-02-29,23650,23805,23650,23805,23805,0
2008-03-03,23805,23805,23794,23794,23794,0
2008-03-04,23794,23834,23794,23834,23834,0
2008-03-05,23834,23834,23834,23783,23783,0
2008-03-06,23783,23783,23783,23990,23990,0
2008-03-07,23990,23990,23990,24138,24138,0
2008-03-10,24009,24009,24009,24009,24009,0
2008-03-11,24009,24150,24009,24150,24150,0
2008-03-12,24150,24150,24142,24142,24142,0
2008-03-13,24142,24142,24142,24329,24329,0
2008-03-14,24329,24329,24273,24273,24273,0
2008-03-17,24630,24630,24630,24630,24630,0
2008-03-18,24630,24630,24630,24677,24677,0
2008-03-19,24677,24677,24488,24488,24488,0
2008-03-20,24488,24488,24071,24071,24071,0
2008-03-21,24071,24071,24071,24071,24071,0
2008-03-24,24071,24071,24071,24071,24071,0
2008-03-25,24243,24243,24243,24243,24243,0
2008-03-26,24243,24659,24243,24659,24659,0
2008-03-27,24659,25042,24659,25042,25042,0
2008-03-28,25042,25108,25042,25108,25108,0
2008-03-31,25072,25072,25072,25072,25072,0
2008-04-02,24793,24812,24793,24812,24812,0
2008-04-03,24812,24812,24679,24679,24679,0
2008-04-04,24679,24946,24679,24946,24946,0
2008-04-07,24918,24918,24918,24918,24918,0
2008-04-08,24918,24945,24918,24945,24945,0
2008-04-09,24945,24945,24926,24926,24926,0
2008-04-10,24926,25187,24926,25187,25187,0
2008-04-11,25187,25187,25093,25093,25093,0
2008-04-14,25103,25103,25103,25103,25103,0
2008-04-15,25103,25108,25103,25108,25108,0
2008-04-16,25108,25295,25108,25295,25295,0
2008-04-17,25295,25295,25262,25262,25262,0
2008-04-18,25262,25262,25125,25125,25125,0
2008-04-21,25217,25217,25217,25217,25217,0
2008-04-22,25217,25279,25217,25279,25279,0
2008-04-23,25279,25316,25279,25316,25316,0
2008-04-24,25316,25316,24981,24981,24981,0
2008-04-25,24981,24981,24723,24723,24723,0
2008-04-28,24854,24854,24854,24854,24854,0
2008-04-29,24854,24854,24713,24713,24713,0
2008-04-30,24713,24713,24658,24658,24658,0
2008-05-02,24537,24537,24537,24537,24537,0
2008-05-05,24537,24542,24537,24542,24542,0
2008-05-06,24542,24638,24542,24638,24638,0
2008-05-07,24511,24511,24511,24511,24511,0
2008-05-08,24511,24511,24375,24375,24375,0
2008-05-09,24375,24375,24375,24565,24565,0
2008-05-12,24565,24565,24565,24565,24565,0
2008-05-13,24583,24583,24583,24583,24583,0
2008-05-14,24583,24583,24531,24531,24531,0
2008-05-15,24531,24640,24531,24640,24640,0
2008-05-16,24640,24640,24640,24579,24579,0
2008-05-19,24796,24796,24796,24796,24796,0
2008-05-20,24796,24927,24796,24927,24927,0
2008-05-21,24927,25116,24927,25116,25116,0
2008-05-22,25116,25116,25098,25098,25098,0
2008-05-23,25098,25098,25083,25083,25083,0
2008-05-26,25115,25115,25115,25115,25115,0
2008-05-27,25115,25160,25115,25160,25160,0
2008-05-28,25160,25160,25025,25025,25025,0
2008-05-29,25025,25025,24859,24859,24859,0
2008-05-30,24859,24859,24859,24798,24798,0
2008-06-02,24798,24846,24798,24846,24846,0
2008-06-03,24846,24946,24846,24946,24946,0
2008-06-04,24946,24946,24762,24762,24762,0
2008-06-05,24762,24762,24650,24650,24650,0
2008-06-06,24650,24650,24650,24991,24991,0
2008-06-09,25317,25317,25317,25317,25317,0
2008-06-10,25317,25317,24855,24855,24855,0
2008-06-11,24855,25351,24855,25351,25351,0
2008-06-12,25351,25351,25226,25226,25226,0
2008-06-13,25226,25226,25226,25061,25061,0
2008-06-16,25300,25300,25300,25300,25300,0
2008-06-17,25300,25362,25300,25362,25362,0
