Date,Date Value,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
10/08/18,43381,208,222.25,206.85,216,215.15,4642146,10062.83
10/05/18,43378,217,218.6,205.9,210.25,209.2,3519515,7407.06
10/04/18,43377,223.5,227.8,216.15,217.25,218.2,1728786,3815.79
10/03/18,43376,230,237.5,225.75,226.45,227.6,1708590,3960.27
10/01/18,43374,234.55,234.6,221.05,230.3,230.9,1534749,3486.05
09/28/18,43371,234.05,235.95,230.2,233.5,233.75,3069914,7162.35
09/27/18,43370,234.55,236.8,231.1,233.8,233.25,5082859,11859.95
09/26/18,43369,240,240,232.5,235,234.25,2240909,5248.6
09/25/18,43368,233.3,236.75,232,236.25,236.1,2349368,5503.9
09/24/18,43367,233.55,239.2,230.75,234,233.3,3423509,7999.55
09/21/18,43364,235,237,227.95,233.75,234.6,5395319,12589.59
09/19/18,43362,235.95,237.2,233.45,234.6,234.9,1362058,3202.78
09/18/18,43361,237.9,239.25,233.5,235.5,235.05,2614794,6163.7
09/17/18,43360,233.15,238,230.25,236.4,236.6,3170894,7445.41
09/14/18,43357,223.45,236.7,223.3,234,233.95,6377909,14784.5
09/12/18,43355,216.35,223.7,212.65,221.65,222.65,4570939,10002.01
09/11/18,43354,222.5,225.4,214.85,216.35,216,3508990,7735.81
09/10/18,43353,222.5,235.15,220.65,221.05,222,7514106,17130.29
09/07/18,43350,221,224.5,219.1,223.15,222.95,1232507,2742.84
09/06/18,43349,224,225,218.2,220.95,221.05,1738824,3856.72
09/05/18,43348,222,224.6,215.2,222.1,222.4,3023097,6674.93
09/04/18,43347,238.2,238.2,222.6,223.45,223.7,3554859,8163.82
09/03/18,43346,236,243.55,235.05,236.85,236.7,5242852,12538.39
08/31/18,43343,237,239.75,232.95,234.65,234.3,3353833,7913.21
08/30/18,43342,235.35,237.3,232.1,237.3,236,1921327,4516.57
08/29/18,43341,233.85,237.7,232.7,234.2,234.55,1394661,3280.33
08/28/18,43340,237,239.3,231.3,232.9,233.35,2374782,5571.77
08/27/18,43339,231.8,239.35,231.05,236.8,237.05,1990020,4689.94
08/24/18,43336,234.5,237.2,230.2,231.5,231,1838417,4289.35
08/23/18,43335,240.3,240.6,233.1,235.5,235.45,1553953,3662.36
08/21/18,43333,246.9,246.9,239.25,240.9,240.55,3272005,7941.4
08/20/18,43332,244,247,243,244.7,245.15,1690225,4141.83
08/17/18,43329,240.8,244.5,239.2,242.7,243,2838238,6885.52
08/16/18,43328,236.05,242,235.95,240.35,239.35,2551480,6106.81
08/14/18,43326,235,238.5,235,237.4,237.55,1885288,4459.96
08/13/18,43325,233,236.45,232.25,235.2,234.55,1948583,4573.57
08/10/18,43322,237.3,237.95,231.1,233.65,233.55,2035594,4757.48
08/09/18,43321,236.65,239.85,235.3,237.25,237.3,1127248,2676.63
08/08/18,43320,237.25,240.5,235.05,236.35,236.35,1807313,4305.39
08/07/18,43319,241,241.55,235.3,237.5,237.6,1963538,4677.58
08/06/18,43318,235.15,240.45,234.15,240,239.5,2560616,6080.87
08/03/18,43315,236,239,232,235.2,234.65,3357945,7893.32
08/02/18,43314,232.5,238.05,230.4,235,235.45,5700851,13328.52
08/01/18,43313,248.7,254.95,234.35,235.1,235.65,13272609,32325.56
07/31/18,43312,243.4,249.65,241.5,247.1,246.9,4422342,10917.34
07/30/18,43311,243.7,247,240.9,243.65,242.2,1867720,4544.83
07/27/18,43308,241,243.95,239.15,242.5,242.25,1581985,3821.97
07/26/18,43307,235.9,242.95,234.5,239.5,239.1,3996921,9565.1
07/25/18,43306,248.5,248.5,235.8,236.05,236.9,2310430,5596.44
07/24/18,43305,244,249.2,241.9,246.3,246.3,2278457,5607.3
07/23/18,43304,238.9,244.25,235.25,243.05,243.3,2351769,5645.48
07/20/18,43301,231.25,240.95,231.25,238.9,238.6,3003282,7143.47
07/19/18,43300,239.7,243.3,228.6,232.5,233.1,4223216,9934.06
07/18/18,43299,248.4,249.6,232.7,238.1,238.65,3343525,8021.22
07/17/18,43298,241.55,251.85,240.3,247.5,247.9,3158004,7794.77
07/16/18,43297,257.9,257.9,242.1,243.9,243.25,3454849,8566.75
07/13/18,43294,265,265.75,257.55,258.3,258.9,3357333,8804.57
07/12/18,43293,270.4,272.45,264.35,264.5,265.2,2250217,6045.37
07/11/18,43292,274.8,275.45,267.45,270,269.8,1407688,3811.57
07/10/18,43291,275.9,277.8,272.55,274.55,274.75,1284523,3532.63
07/09/18,43290,268.25,276.2,267,275.3,275.25,2267486,6168.1
07/06/18,43287,269.8,273.25,265.7,266.2,266.3,2022333,5443.53
07/05/18,43286,277.45,282.4,270,271.8,271.25,2338411,6459.01
07/04/18,43285,281,281,275.35,277.7,277.3,3598212,9999.82
07/03/18,43284,264.5,284.5,262.7,280.1,281,6676660,18483.41
07/02/18,43283,271,273.1,263.25,264.5,264.45,3661633,9740.9
06/29/18,43280,262.7,270.15,262.7,269.2,269.35,2077927,5519.02
06/28/18,43279,263,268.25,261.45,265.05,263.95,4511203,11917.5
06/27/18,43278,265.1,268.4,261.2,263.15,265.6,2234204,5905.05
06/26/18,43277,264.8,269.7,263.3,264.6,267.35,2208389,5886.61
06/25/18,43276,260.1,266.95,260.1,264.55,264.5,2103452,5563.82
06/22/18,43273,257.9,263.55,256.45,261.95,262.1,2459832,6442.71
06/21/18,43272,258.05,262.35,255.5,258.15,258.2,3020580,7806.4
06/20/18,43271,263.7,264.75,257,260.55,260.85,3367252,8755.18
